"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2023","15448.02","15,476.67","15,503.55","15,375.11","220.38M","0.14%"
"07/21/2023","15425.67","15,554.99","15,600.54","15,410.57","798.15M","-0.26%"
"07/20/2023","15466.09","15,719.22","15,770.98","15,430.65","332.38M","-2.28%"
"07/19/2023","15826.35","15,887.94","15,931.97","15,781.96","265.91M","-0.09%"
"07/18/2023","15841.35","15,669.72","15,895.68","15,608.46","258.27M","0.82%"
"07/17/2023","15713.28","15,608.28","15,745.67","15,576.51","236.59M","0.95%"
"07/14/2023","15565.60","15,610.00","15,719.97","15,531.33","255.95M","-0.04%"
"07/13/2023","15571.98","15,432.08","15,602.23","15,422.28","242.10M","1.73%"
"07/12/2023","15307.23","15,277.19","15,363.78","15,210.01","287.19M","1.24%"
"07/11/2023","15119.06","15,068.13","15,135.29","14,975.16","234.56M","0.49%"
"07/10/2023","15045.64","15,031.95","15,066.43","14,924.76","270.68M","0.06%"
"07/07/2023","15036.85","15,071.40","15,210.39","15,033.65","239.62M","-0.35%"
"07/06/2023","15089.45","15,052.89","15,106.31","14,969.46","242.18M","-0.75%"
"07/05/2023","15203.78","15,165.36","15,275.06","15,164.10","223.20M","-0.04%"
"07/03/2023","15210.09","15,189.90","15,232.96","15,154.47","112.63M","0.20%"
"06/30/2023","15179.21","15,083.96","15,212.69","15,083.09","316.99M","1.60%"
"06/29/2023","14939.95","14,965.55","14,982.12","14,876.98","225.75M","-0.16%"
"06/28/2023","14964.58","14,876.65","15,051.00","14,867.93","246.25M","0.12%"
"06/27/2023","14945.91","14,751.70","14,972.01","14,728.28","268.56M","1.75%"
"06/26/2023","14689.02","14,867.46","14,982.22","14,687.42","265.19M","-1.36%"
"06/23/2023","14891.48","14,875.29","14,983.13","14,822.26","419.91M","-1.00%"
"06/22/2023","15042.32","14,797.89","15,044.22","14,794.95","233.94M","1.18%"
"06/21/2023","14867.45","15,018.76","15,037.79","14,827.95","308.36M","-1.35%"
"06/20/2023","15070.15","15,035.04","15,126.58","14,946.72","290.28M","-0.09%"
"06/16/2023","15083.92","15,271.51","15,282.40","15,073.45","770.65M","-0.67%"
"06/15/2023","15185.48","14,950.37","15,246.38","14,930.80","320.36M","1.20%"
"06/14/2023","15005.69","14,895.06","15,016.09","14,785.54","308.26M","0.70%"
"06/13/2023","14900.85","14,911.26","14,930.91","14,771.79","274.78M","0.79%"
"06/12/2023","14784.30","14,617.35","14,789.60","14,571.80","283.43M","1.76%"
"06/09/2023","14528.36","14,574.97","14,671.93","14,488.01","257.89M","0.30%"
"06/08/2023","14484.54","14,319.24","14,502.99","14,315.98","252.28M","1.27%"
"06/07/2023","14303.29","14,573.27","14,645.95","14,283.88","334.21M","-1.75%"
"06/06/2023","14558.09","14,529.04","14,593.50","14,476.99","248.53M","0.01%"
"06/05/2023","14556.50","14,552.36","14,662.95","14,516.88","253.81M","0.07%"
"06/02/2023","14546.64","14,517.15","14,595.01","14,442.76","273.39M","0.73%"
"06/01/2023","14441.51","14,270.07","14,492.75","14,220.03","313.72M","1.31%"
"05/31/2023","14254.09","14,293.56","14,374.15","14,216.16","613.16M","-0.70%"
"05/30/2023","14354.99","14,465.59","14,520.17","14,301.08","307.22M","0.40%"
"05/26/2023","14298.41","13,985.63","14,328.63","13,982.65","353.47M","2.58%"